지역,15일(금),16일(토),17일(일),18일(월),19일(화),20일(수),21일(목),22일(금)
서울인천경기도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
강원도영서,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
강원도영동,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
대전세종충청남도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
충청북도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
광주전라남도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
전라북도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
부산울산경상남도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
대구경상북도,구름많음,구름많음,구름많음,구름조금,구름조금,구름조금,구름조금,구름많음
제주도,구름많음,구름많음,구름많음,구름많음,구름많음,구름많음,구름조금,구름많음
도시,15일(금),16일(토),17일(일),18일(월),19일(화),20일(수),21일(목),22일(금)
서울,19 / 29,18 / 29,18 / 28,19 / 29,19 / 28,20 / 29,20 / 28,20 / 28
인천,18 / 26,17 / 25,18 / 26,18 / 26,19 / 25,19 / 26,19 / 24,19 / 25
수원,18 / 29,18 / 29,18 / 28,18 / 29,19 / 28,19 / 29,20 / 28,20 / 27
파주,16 / 28,15 / 28,16 / 28,17 / 29,17 / 29,18 / 28,18 / 28,18 / 28
춘천,17 / 27,16 / 28,17 / 28,17 / 29,17 / 29,18 / 29,19 / 28,19 / 27
원주,17 / 28,16 / 28,17 / 28,18 / 29,18 / 28,18 / 29,19 / 29,20 / 28
강릉,17 / 21,16 / 20,17 / 24,18 / 25,19 / 25,20 / 26,21 / 27,21 / 26
대전,18 / 29,17 / 29,17 / 29,18 / 30,18 / 30,19 / 30,20 / 30,21 / 29
세종,17 / 28,16 / 29,16 / 28,17 / 29,17 / 29,18 / 29,19 / 30,20 / 29
홍성,17 / 28,16 / 28,17 / 27,18 / 28,18 / 29,19 / 29,20 / 29,21 / 28
청주,18 / 29,18 / 29,18 / 29,19 / 29,20 / 30,20 / 30,20 / 29,21 / 28
광주,18 / 29,18 / 29,19 / 29,19 / 29,20 / 30,20 / 30,21 / 30,21 / 30
목포,19 / 26,19 / 26,19 / 26,19 / 26,20 / 27,20 / 27,20 / 27,20 / 27
여수,19 / 26,19 / 25,19 / 25,19 / 25,20 / 26,20 / 26,21 / 26,21 / 26
전주,18 / 29,17 / 29,18 / 29,19 / 30,19 / 30,19 / 30,19 / 30,20 / 29
군산,17 / 27,17 / 27,18 / 27,18 / 28,19 / 29,19 / 29,19 / 29,20 / 28
부산,18 / 25,18 / 24,18 / 24,19 / 26,19 / 26,19 / 26,19 / 26,20 / 25
울산,16 / 24,16 / 23,16 / 25,18 / 28,18 / 28,18 / 28,19 / 29,20 / 26
창원,17 / 27,17 / 26,17 / 26,18 / 28,19 / 28,19 / 28,19 / 29,20 / 26
대구,17 / 26,16 / 27,17 / 29,19 / 31,20 / 30,20 / 30,20 / 29,21 / 28
안동,16 / 27,15 / 28,16 / 29,18 / 30,18 / 30,18 / 30,19 / 29,20 / 28
포항,18 / 22,18 / 23,18 / 27,20 / 28,20 / 27,20 / 28,20 / 28,21 / 27
제주,20 / 25,20 / 25,20 / 26,20 / 26,20 / 26,20 / 26,21 / 27,21 / 27
서귀포,21 / 26,21 / 26,21 / 26,21 / 26,21 / 27,21 / 27,21 / 27,21 / 27
