,name,startdate,enddate,location_01,location_02
0,부여서동연꽃축제,2018-07-06,2018-07-15,충남,부여군
1,세계조롱박축제,2018-07-20,2018-08-19,충남,청양군
2,무주반딧불축제,2018-09-01,2018-09-09,전북,무주군
3,아침고요수목원 무궁화축제,2017-07-29,2017-09-03,경기,가평군
4,태백 해바라기축제,2017-07-27,2017-08-13,강원,태백시
5,양평 메기수염축제,2018-06-02,2018-08-31,경기,양평군
6,신촌물총축제,2018-07-07,2018-07-08,서울,서대문구
7,포항국제불빛축제,2018-07-25,2018-07-29,경북,포항시
8,정남진장흥물축제,2018-07-27,2018-08-02,전남,장흥군
9,부산바다축제,2018-08-01,2018-08-05,부산,수영구
10,고창 갯벌 축제,2018-08-03,2018-08-05,전북,고창군
11,통영한산대첩축제,2018-08-10,2018-08-14,경남,통영시
12,목포항구축제,2018-10-05,2018-10-07,전남,목포시
13,부산항축제,2018-05-25,2018-05-27,부산,영도구
14,해운대모래축제,2018-05-19,2018-05-22,부산,해운대구
15,무창포 신비의 바닷길축제,2017-09-09,2017-09-11,충남,보령시
16,울산 워터버블페스티벌,2017-08-11,2017-08-12,울산,중구
17,영월 동강축제,2017-08-03,2017-08-06,강원,영월군
18,물의나라 화천 쪽배축제,2017-07-29,2017-08-13,강원,화천군
19,울산 서머페스티벌,2017-07-22,2017-07-29,울산,중구
20,금강여울축제,2017-07-15,2017-07-16,충남,금산군
21,청개구리 물놀이축제,2017-07-07,2017-08-20,경기,고양시
22,춘천 호수별빛나라축제,2017-06-02,2017-12-31,강원,춘천시
23,고창복분자와수박축제,2018-06-22,2018-06-24,전북,고창군
24,대구치맥페스티벌,2018-07-18,2018-07-22,대구,달서구
25,홍천 찰옥수수축제,2018-07-27,2018-07-29,강원,홍천군
26,봉화은어축제,2018-07-28,2018-08-04,경북,봉화군
27,진안고원 수박축제,2018-08-04,2018-08-05,전북,진안군
28,영동포도축제,2018-08-23,2018-08-26,충북,영동군
29,송도맥주축제(송도세계문화관광축제),2018-08-24,2018-09-01,인천,연수구
30,춘천닭갈비막국수축제,2018-08-28,2018-09-02,강원,춘천시
31,괴산고추축제,2018-08-30,2018-09-02,충북,괴산군
32,함양산삼축제,2018-09-07,2018-09-16,경남,함양군
33,안성맞춤 포도축제,2017-09-15,2017-09-17,경기,안성시
34,영양고추 H.O.T 페스티벌,2017-09-04,2017-09-06,서울,중구
35,울릉도 오징어축제,2017-07-31,2017-08-02,경북,울릉군
36,포천 이동갈비바베큐축제,2017-07-21,2017-08-27,경기,포천시
37,한국민속촌 시골 외갓집의 여름,2017-06-24,2017-08-27,경기,용인시
38,창덕궁 달빛기행,2018-04-05,2018-10-28,서울,종로구
